Sl No,Evacuation Window,Priority Order,Priority Code,Priority Label,Village Name,District,Dist from Jawalgaon Dam (km),Max Depth (m),Avg Depth (m),Max Velocity (m/s),Avg Velocity (m/s),Max WSE (m),Flood Arrival Time (hrs),Hazard Class,Hazard Level,Flood Status,Village Surrounded,Road Access Cut,Nearest Shelter,Shelter Dist (km),Vulnerability Index,Vulnerability Category,Scenario
1,0 to 2 hour,1,P1,IMMEDIATE,Hattij,Solapur,2.75,6.095,2.114,2.809,1.049,493.01,1.17,H6,Extreme,VILLAGE MODERATELY FLOODED,NO,NO,None,2.368,0.982,Critical,Overtopping
2,0 to 2 hour,1,P1,IMMEDIATE,Hattij,Solapur,2.99,6.753,1.964,2.766,0.523,492.952,1.18,H1,Very Low,VILLAGE PARTIALLY FLOODED,NO,NO,Shelter for Hatij Flood Afffected People,2.008,0.414,High,Overtopping
3,0 to 2 hour,1,P1,IMMEDIATE,Hingani(ratanjan),Solapur,5.59,3.316,1.552,0.725,0.417,489.421,1.4,H4,High,VILLAGE PARTIALLY FLOODED,NO,NO,None,0.556,0.5081,High,Overtopping
4,0 to 2 hour,1,P1,IMMEDIATE,Dhamgaon(Dumala),Solapur,8.634,3.615,1.533,0.72,0.197,484.434,1.9,H1,Very Low,VILLAGE MARGINALLY AFFECTED,NO,NO,None,0.099,0.1862,Low,Overtopping
5,2–4 hours,2,P2,URGENT,Raleras,Solapur,12.043,4.073,1.616,1.703,0.458,479.923,2.31,H1,Very Low,VILLAGE MODERATELY FLOODED,NO,NO,None,0.813,0.5635,High,Overtopping
6,2–4 hours,2,P2,URGENT,Sasure,Solapur,14.065,4.99,1.472,3.393,0.58,478.137,2.6,H1,Very Low,VILLAGE PARTIALLY FLOODED,NO,NO,None,0.549,0.429,High,Overtopping
7,2–4 hours,2,P2,URGENT,Dahithane,Solapur,17.524,6.771,1.963,2.763,0.882,473.071,3.3,H1,Very Low,VILLAGE MODERATELY FLOODED,NO,NO,None,1.215,0.4803,High,Overtopping
8,2–4 hours,2,P2,URGENT,Mungshi,Solapur,20.643,7.881,1.884,2.851,0.611,469.278,3.77,H1,Very Low,VILLAGE MODERATELY FLOODED,NO,NO,None,1.307,0.4106,High,Overtopping
9,4–6 hours,3,P3,HIGH,Waluj,Solapur,24.32,0.481,0.252,0.08,0.05,464.055,4.24,H1,Very Low,VILLAGE MARGINALLY AFFECTED,NO,NO,None,0.844,0.0677,Low,Overtopping
10,4–6 hours,3,P3,HIGH,Waluj,Solapur,24.718,4.807,1.011,1.674,0.463,464.052,4.23,H1,Very Low,VILLAGE PARTIALLY FLOODED,NO,NO,None,1.019,0.1831,Low,Overtopping
