Sl No,Village Name,District,Area Inundated (%),Original Area (ha),Inundated Area (ha),Existing Population,Effected Population (PAR),PAR % of Village,Max Depth (m),Avg Depth (m),Max Velocity (m/s),Max WSE (m),Flood Arrival (hrs),Hazard Class,Hazard Level,Evacuation Window,Evacuation Priority,Flood Status Callout,Dist from Jawalgaon Dam (km),Nearest Shelter,Shelter Dist (km),Vulnerability Index,Vulnerability Category,Scenario
1,Hattij,Solapur,42.1%,5.5,2.32,1751,737,42.1%,6.095,2.114,2.809,493.01,1.17,H6,Extreme,0 to 2 hour,IMMEDIATE,VILLAGE MODERATELY FLOODED,2.75,None,2.368,0.982,Critical,Overtopping
2,Hattij,Solapur,18.9%,18.25,3.45,1751,331,18.9%,6.753,1.964,2.766,492.952,1.18,H1,Very Low,0 to 2 hour,IMMEDIATE,VILLAGE PARTIALLY FLOODED,2.99,Shelter for Hatij Flood Afffected People,2.008,0.414,High,Overtopping
3,Hingani(ratanjan),Solapur,16.2%,7.97,1.3,981,159,16.2%,3.316,1.552,0.725,489.421,1.4,H4,High,0 to 2 hour,IMMEDIATE,VILLAGE PARTIALLY FLOODED,5.59,None,0.556,0.5081,High,Overtopping
4,Dhamgaon(Dumala),Solapur,3.6%,32.17,1.14,506,18,3.6%,3.615,1.533,0.72,484.434,1.9,H1,Very Low,0 to 2 hour,IMMEDIATE,VILLAGE MARGINALLY AFFECTED,8.634,None,0.099,0.1862,Low,Overtopping
5,Raleras,Solapur,32.0%,8.3,2.66,2316,742,32.0%,4.073,1.616,1.703,479.923,2.31,H1,Very Low,2–4 hours,URGENT,VILLAGE MODERATELY FLOODED,12.043,None,0.813,0.5635,High,Overtopping
6,Sasure,Solapur,18.7%,44.62,8.34,3427,641,18.7%,4.99,1.472,3.393,478.137,2.6,H1,Very Low,2–4 hours,URGENT,VILLAGE PARTIALLY FLOODED,14.065,None,0.549,0.429,High,Overtopping
7,Dahithane,Solapur,31.8%,17.46,5.56,1765,562,31.8%,6.771,1.963,2.763,473.071,3.3,H1,Very Low,2–4 hours,URGENT,VILLAGE MODERATELY FLOODED,17.524,None,1.215,0.4803,High,Overtopping
8,Mungshi,Solapur,30.9%,30.16,9.31,1291,399,30.9%,7.881,1.884,2.851,469.278,3.77,H1,Very Low,2–4 hours,URGENT,VILLAGE MODERATELY FLOODED,20.643,None,1.307,0.4106,High,Overtopping
9,Waluj,Solapur,0.6%,22.64,0.14,1426,9,0.6%,0.481,0.252,0.08,464.055,4.24,H1,Very Low,4–6 hours,HIGH,VILLAGE MARGINALLY AFFECTED,24.32,None,0.844,0.0677,Low,Overtopping
10,Waluj,Solapur,17.5%,19.24,3.37,0,0,N/A,4.807,1.011,1.674,464.052,4.23,H1,Very Low,4–6 hours,HIGH,VILLAGE PARTIALLY FLOODED,24.718,None,1.019,0.1831,Low,Overtopping
TOTAL,ALL 10 AFFECTED VILLAGES,,,,,15214,3598,23.6%,,,,,,,,,,,,,,,,Overtopping
